"Location/Name","Address","Use","FY","OR","Loan/Grant","Type","IncentiveTerm","Total Project Cost","Leveraged Investment","Direct City Incentive","Projected   Incentive over Term","Total City Incentive over Term","Projected Gross Revenue Over Term","Projected Net Revenue over Term","Job Creation","Jobs Retained","Commercial SF","Housing Units"
"Crafts & Vine","642 Main St","Small Business","18","029-17","Grant","Rent Subsidy","2",123500,117500,6000,0,6000,NA,0,1,0,1400,0
"Rooted Yoga","12 W Pike St","Small Business","17","030-17","Grant","Rent Subsidy","2",6100,100,6000,0,6000,0,0,1,0,1100,0
"Lock Logistics","824 Main St","JDI & Small Business","17","072-17","Forgiveable Loan","JDI & Façade","5",2e+05,194000,6000,64050,70050,NA,92872,30,0,1500,0
"Kickstart Kitchen","1032 Madison Ave","Other","17","091-17","Forgiveable Loan","Other","3",30000,15000,15000,0,15000,NA,0,0,0,5000,0
"Covington Coffee","322 MLK Blvd","Small Business","17","095-17","Forgiveable Loan","Façade","3",23450,17450,6000,0,6000,NA,0,6,3,1100,0
"Designs Direct","605 Philadelphia St","JDI","17","106-17","N/a","JDI","5",2e+05,2e+05,0,34480,34480,NA,243056,12,40,7500,0
"Rick Kennedy (Emerson's Doughnuts)","3612 Decoursey Ave","Small Business","17","122-17","Forgiveable Loan","Façade","3",11436,5436,6000,0,6000,NA,0,0,0,2000,0
"Road ID","35 W 8th Street","JDI & Real Estate","17","128-17","Forgiveable Loan","JDI / Real Estate","10",4054000,3854000,2e+05,360000,560000,NA,654300,72,0,54000,0
"ProTech Equipment","213 E 4th St","JDI","17","151-17","N/a","JDI","5",57500,57500,0,49608,49608,NA,71931,8,0,2500,0
"Rita Riley (Covington Barber)","3722 Winston Ave","Small Business","17","172-17","Forgiveable Loan","Façade","3",12504,6504,6000,0,6000,NA,0,0,0,2800,0
"501 Main EPAD","501 Main St","Other","18","257-17","EPAD","Other","20",4402276,4402276,0,0,0,NA,NA,NA,NA,NA,NA
"NKADD Lease Amendment","1324 Madison Ave","Other","18","259-17","N/a","Other","1",0,0,0,NA,0,NA,8000,2,0,0,0
"Bike Patrol/Stephen Gould","409 Scott Blvd","Real Estate","18","260-17","Forgiveable Loan","Real Estate","9",2260500,1679300,581200,338875,920075,NA,338875,25,0,10500,0
"Blair Technology Group","4314 Boron Dr","JDI","18","261-17","N/a","Existing Business","5",4e+06,4e+06,0,94000,94000,NA,182482,29,46,10000,0
"Chako's Bakery","212 W Pike Street","Small Business","18","262-17","Grant","Rent Subsidy","2",10000,4000,6000,0,6000,NA,0,2,0,1200,0
"Chops Cheese Chives","420 Madison Ave","Small Business","18","263-17","Forgiveable Loan","Façade","3",16800,10800,6000,0,6000,NA,0,5,3,3500,0
"Flying Axes","100 W 6th St","Small Business","18","264-17","Grant","Rent Subsidy","2",1e+05,94000,6000,0,6000,NA,0,15,0,4000,0
"Grainwell","33 W Pike St","Small Business","18","265-17","Grant","Rent Subsidy","2",15000,9600,5400,0,5400,NA,0,3,6,900,0
"Moonrise Doughnuts","3718 Winston Ave","Small Business","18","266-17","Grant","Rent Subsidy","2",42000,36000,6000,0,6000,NA,0,2,0,1500,0
"Old Towne Tavern","35 W Pike St","Small Business","18","267-17","Forgiveable Loan","Façade","3",29000,23000,6000,0,6000,NA,0,6,6,4000,0
"Smoke Justis","302 Court St","Small Business","18","268-17","Forgiveable Loan","Façade","3",97985,91985,6000,0,6000,NA,0,5,40,11000,0
"Wunderbar","1132 Lee St","Small Business","18","289-17","Forgiveable Loan","Façade","3",25500,19500,6000,0,6000,NA,0,11,11,2300,0
"Peppe Cucina","39 W Pike St","Small Business","18","290-17","Forgiveable Loan","Façade","3",363000,357000,6000,0,6000,NA,0,10,0,1500,0
"Bradford Building","326 Scott Blvd","Real Estate","18","325-17","Grant","Real Estate","n/a",2483000,1983000,5e+05,0,5e+05,NA,0,0,0,4000,5
"Madison Flats","803-807 Madison Ave","Real Estate","18","326-17","Loan","Real Estate","8.3000000000000007",1088000,1038000,50000,0,50000,NA,0,0,0,5700,13
"BLDG","30 W Pike St","Small Business","18","355-17","Forgiveable Loan","Façade","3",12000,6000,6000,NA,6000,NA,NA,5,8,NA,NA
"Lils Bagels","308 Greenup St","Small Business","18","356-17","Grant","Rent Subsidy","2",50000,44000,6000,NA,6000,NA,NA,5,0,NA,NA
"UpOver","624 Main St","Small Business","18","357-17","Forgiveable Loan","Façade","3",7500,3750,3750,NA,3750,NA,NA,2,4,NA,NA
"Flannery Building","501 MLK Blvd","Real Estate","18","372-17","Grant","Real Estate","5",404822,354822,50000,0,50000,NA,77787,12,0,3100,0
"John R Green Development","409-415 W 6th St","IRB","18","053-18","Grant","Real Estate","30",3.6e+07,33500000,2500000,2384479,4884479,NA,4182728,85,0,23856,170
"1316 Greenup","1316 Greenup St","Other","19","222-18","Grant","Real Estate","5",211000,196000,15000,0,15000,NA,28721,15,0,2659,NA
"UpTech","112 W Pike St","Other","19","255-18","Grant","Other","5",300794,300794,0,186125,186125,0,NA,NA,NA,NA,NA
"Chictore","531 Madison Ave","Small Business","19","257-18","Grant","Rent Subsidy","2",36000,30000,6000,NA,6000,0,NA,2,0,NA,NA
"Handzy","17 W Pike St","Small Business","19","258-18","Grant","Rent Subsidy","2",32400,26400,6000,NA,6000,0,NA,2,2,1800,NA
"Wellfit","807 Madison Ave","Small Business","19","259-18","Grant","Rent Subsidy","2",44460,38460,6000,NA,6000,0,NA,1,0,NA,NA
"Egelston Maynard","525 Madison Ave","Small Business","19","260-18","Forgiveable Grant","Façade Incentive","3",6500,3250,3250,NA,3250,0,NA,0,0,NA,NA
"Fessler Properties / Herb & Thelmas","718 W Pike St","Small Business","19","261-18","Forgiveable Grant","Façade Incentive","3",13545,7545,6000,NA,6000,0,NA,0,0,NA,NA
"MW MW Properties","21 E 32nd St","Small Business","19","262-18","Forgiveable Grant","Façade Incentive","3",25800,19800,6000,NA,6000,0,NA,0,NA,NA,NA
"Richard Kennedy","9 W Southern Ave","Small Business","19","263-18","Forgiveable Grant","Façade Incentive","3",9972,4986,4986,NA,4986,0,NA,0,0,NA,NA
"BM2 Freight Services","50 E Rivercenter","JDI","19","271-18","Payroll Incentive","JDI","4",6e+05,6e+05,0,152947,152947,NA,445490,30,0,7200,NA
"Prolocity","100 E Rivercenter","JDI","19","272-18","Payroll Incentive","JDI",NA,1103000,1103000,0,3150,3150,0,NA,4,11,NA,NA
"Ludlow Family Properties (Davon)","4343 Boron Drive","Small Business","19","325-18","Forgiveable Grant","Façade Incentive","3",12480,6480,6000,NA,6000,0,NA,0,0,NA,NA
"Johnny Chu (half & half)","3630 Decoursey Ave","Small Business","19","326-18","Forgiveable Grant","Façade Incentive","3",23114,17114,6000,NA,6000,0,NA,0,0,NA,NA
"KKW LLC","8-14 W 7th Street","Small Business","19","327-18","Forgiveable Grant","Façade Incentive","3",63400,51400,12000,NA,12000,0,NA,0,0,NA,NA
"Rich's Proper","701 Madison Ave","Small Business","19","328-18","Grant","Rent Subsidy","2",610200,604200,6000,NA,6000,0,NA,11,0,2200,NA
"Work Architecture","20 E 5th St","Small Business","19","329-18","Grant","Rent Subsidy","2",136000,130000,6000,NA,6000,0,NA,9,0,NA,NA
"Braxton Brewery","27 W 7th St","Small Business","19","340-18","Forgiveable Grant","Façade Incentive","3",11434,5717,5717,NA,5717,0,NA,0,0,NA,NA
"Head to Toe","3629 Decoursey Ave","Small Business","19","042-19","Grant","Rent Subsidy","3",7140,3570,3570,NA,3570,NA,0,5,0,1300,0
"Kenneth Smith","3616 Decoursey Ave","Small Business","19","043-19","Forgiveable Grant","Façade Incentive","3",19000,13000,6000,NA,6000,NA,0,NA,0,NA,0
"Macs Pizza","604 Main St","Small Business","19","044-19","Forgiveable Grant","Façade Incentive","3",15671,9671,6000,NA,6000,NA,0,NA,0,NA,0
"OKOTA, LLC","266 W Pike St","Small Business","19","045-19","Forgiveable Grant","Façade Incentive","3",24947,18947,6000,NA,6000,NA,0,NA,0,NA,0
"Western Garage","957 Western Avenue","Small Business","19","084-19","Forgiveable Grant","Façade Incentive","3",12000,6000,6000,NA,6000,NA,0,NA,0,NA,0
"Ripple Wine Bar","4 W Pike St","Small Business","19","132-19","Grant","Rent Subsidy","3",62600,56600,6000,NA,6000,NA,0,25,0,1800,0
"Strange Stock Art Conservation, LLC","315 E. 15th St","Small Business","19","133-19","Grant","Rent Subsidy","3",101160,95580,5580,NA,5580,NA,0,1,0,2300,0
"Lorenzo's Deli, LLC","806 Madison Ave","Small Business","19","134-19","Grant","Rent Subsidy","3",36200,30200,6000,NA,6000,NA,0,5,0,500,0
"Alterations & More","3702 Decoursey Ave","Small Business","19","135-19","Grant","Rent Subsidy","3",18600,13800,4800,NA,4800,NA,0,1,0,800,0
"Emily Wolff","268 Pike Street","Small Business","19","136-19","Forgiveable Grant","Façade Incentive","3",33000,27000,6000,NA,6000,NA,0,NA,0,NA,0
"Victory Battery Co.","1502 Russell St","Small Business","19","137-19","Forgiveable Grant","Façade Incentive","3",18000,12000,6000,NA,6000,NA,0,NA,0,NA,0
"Corner Store Project, LLC","2120 Eastern Ave","Small Business","19","138-19","Forgiveable Grant","Façade Incentive","3",19500,13500,6000,NA,6000,NA,0,NA,0,NA,0
"The Point Arc","43 W Pike St","Small Business","19","139-19","Forgiveable Grant","Façade Incentive","3",21162,15162,6000,NA,6000,NA,0,NA,0,NA,0
"Center for Great Neighborhoods","302 W MLK","Small Business","19","140-19","Forgiveable Grant","Façade Incentive","3",29000,23000,6000,NA,6000,NA,0,NA,0,NA,0
"RP PROP OZ, LLC","115 Park Place","Small Business","19","141-19","Forgiveable Grant","Façade Incentive","3",41500,35500,6000,NA,6000,NA,0,NA,0,NA,0
"Left Bank Coffee","701 Greenup St","Small Business","19","142-19","Forgiveable Grant","Façade Incentive","3",1697,847,850,NA,850,NA,0,NA,0,NA,0
"Amerasia","521 Madison Ave","Small Business","19","143-19","Forgiveable Grant","Façade Incentive","3",9608,4804,4804,NA,4804,NA,0,NA,0,NA,0
"Integrity Express","50 East River Center Blvd","JDI","19","157-19","Payroll Incentive","JDI","5",191000,191000,0,38445,38445,188382,149937,30,0,7000,0
