"SALE_TEXT","LANDUSE_TE","RECD_DATE","RECD_PRICE","CITY_TEXT","NbhdLabel","Date","Year"
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/20/2022",215000,"COVINGTON","South Covington",2022-01-20,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/11/2022",2e+05,"COVINGTON","South Covington",2022-01-11,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/19/2022",2e+05,"COVINGTON","South Covington",2022-01-19,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/14/2022",132500,"COVINGTON","Westside",2022-01-14,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","TWO FAMILY","01/18/2022",130000,"COVINGTON","Eastside",2022-01-18,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/13/2022",229500,"COVINGTON","Peaselburg",2022-01-13,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/19/2022",340000,"COVINGTON","Seminary Square",2022-01-19,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/10/2022",208000,"COVINGTON","Austinburg",2022-01-10,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/12/2022",230000,"COVINGTON","Monte Casino",2022-01-12,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/18/2022",165000,"COVINGTON","Monte Casino",2022-01-18,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/21/2022",105000,"COVINGTON","Latonia/Rosedale",2022-01-21,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/14/2022",147500,"COVINGTON","Ritte's East Latonia",2022-01-14,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","01/07/2022",139900,"COVINGTON","Latonia/Rosedale",2022-01-07,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","CONDOMINIUM-NO LAND","01/11/2022",187000,"COVINGTON","South Covington",2022-01-11,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","CONDOMINIUM-NO LAND","01/20/2022",173000,"COVINGTON","South Covington",2022-01-20,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/14/2022",96000,"COVINGTON","Botany Hills",2022-02-14,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/09/2022",120000,"COVINGTON","Lewisburg",2022-02-09,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/15/2022",225000,"COVINGTON","South Covington",2022-02-15,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/15/2022",178500,"COVINGTON","South Covington",2022-02-15,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/18/2022",90000,"COVINGTON","Lewisburg",2022-02-18,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/09/2022",170000,"COVINGTON","South Covington",2022-02-09,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/16/2022",326000,"COVINGTON","Austinburg",2022-02-16,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/10/2022",179900,"COVINGTON","Wallace Woods",2022-02-10,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/08/2022",165000,"COVINGTON","Wallace Woods",2022-02-08,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/07/2022",160000,"COVINGTON","Wallace Woods",2022-02-07,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/09/2022",70000,"COVINGTON","Austinburg",2022-02-09,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/01/2022",202900,"COVINGTON","West Latonia",2022-02-01,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/07/2022",110000,"COVINGTON","West Latonia",2022-02-07,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/07/2022",115000,"COVINGTON","Latonia/Rosedale",2022-02-07,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/08/2022",190000,"COVINGTON","Latonia/Rosedale",2022-02-08,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","TOWNHOME","02/25/2022",532500,"COVINGTON","Mainstrasse",2022-02-25,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","TWO FAMILY","02/07/2022",275000,"COVINGTON","Mainstrasse",2022-02-07,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/14/2022",150000,"COVINGTON","Westside",2022-02-14,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/09/2022",144900,"COVINGTON","Peaselburg",2022-02-09,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/18/2022",159900,"COVINGTON","Westside",2022-02-18,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/09/2022",150000,"COVINGTON","Peaselburg",2022-02-09,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/07/2022",70000,"COVINGTON","Peaselburg",2022-02-07,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/07/2022",97000,"COVINGTON","Peaselburg",2022-02-07,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/24/2022",122500,"COVINGTON","Austinburg",2022-02-24,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","TWO FAMILY","02/24/2022",122500,"COVINGTON","Austinburg",2022-02-24,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/18/2022",359000,"COVINGTON","Peaselburg",2022-02-18,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/17/2022",127000,"COVINGTON","West Latonia",2022-02-17,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/15/2022",2e+05,"COVINGTON","West Latonia",2022-02-15,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/22/2022",195000,"COVINGTON","Ritte's East Latonia",2022-02-22,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/22/2022",150000,"COVINGTON","Latonia/Rosedale",2022-02-22,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/18/2022",122500,"COVINGTON","Ritte's East Latonia",2022-02-18,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","02/01/2022",82500,"COVINGTON","Ritte's East Latonia",2022-02-01,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","TWO FAMILY","02/16/2022",145000,"COVINGTON","Latonia/Rosedale",2022-02-16,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","CONDOMINIUM-NO LAND","02/07/2022",186000,"COVINGTON","South Covington",2022-02-07,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","CONDOMINIUM-NO LAND","02/02/2022",194000,"COVINGTON","South Covington",2022-02-02,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","TWO FAMILY","03/21/2022",207500,"COVINGTON","Botany Hills",2022-03-21,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","03/03/2022",402500,"COVINGTON","Mainstrasse",2022-03-03,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","03/30/2022",92500,"COVINGTON","Mainstrasse",2022-03-30,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","03/30/2022",98000,"COVINGTON","Lewisburg",2022-03-30,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","03/01/2022",250000,"COVINGTON","South Covington",2022-03-01,2022
"GOOD SALE/ARMS LENGTH TRANSACTION","SINGLE FAMILY","03/08/2022",110000,"COVINGTON","South Covington",2022-03-08,2022
